question,answer,source,section,type,difficulty,options,correct_index
请描述行动模块的组成部分。,"能够在复杂多变的实际应用中取得成功的关键因素。 
2.2.5 行动模块 
行动模块负责将 AI Agent 的决策翻译成特定结果，它位于最下游的位置，直接与环境交互，
并受到角色模块、记忆模块和规划模块的影响。虽然 LLM 已被证明在完成大量任务时是有效的，
但它们可能不适用于需要综合专家知识的领域。此外，LLM 也会遇到幻觉问题，这些问题本身很难
解决。为了缓解上述问题，AI Agent 具有调","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",行动模块,structure,medium,,
LLM 常见技术或应用范式有哪些应用？,"32∣AI Agent 开发全书：原理、框架与企业落地 
 
2.3 LLM 常见技术或应用范式 
小智：西瓜老师讲得真好！我已经想着开始构建框架结构，着手构建一个自己的 AI Agent 助
手，让它帮我收集并总结最新论文。 
西瓜老师：小智，你先不要着急动手，AI Agent 的模块组件相当于计算机的硬件，只有“硬件”
它们还不能出色地完成你的任务，还需要进一步配置“软件”。 
接下来，我们需","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",LLM 常见技术或应用范式,application,medium,,
如何理解检索增强生成？,"36∣AI Agent 开发全书：原理、框架与企业落地 
 
2.3.3 检索增强生成 
检索增强生成（RAG）是一种将 LLM（如 DeepSeek-R1、GPT 系列、LLaMA 系列、Qwen
系列等）与信息检索技术相结合的应用范式。通过引入检索模块，LLM 可以在生成答案前实时查找
相关的外部数据，以保证输出内容的准确性、及时性和丰富性。RAG 范式特别适合处理需要实时更
新、具有海量数据","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",检索增强生成,definition,medium,,
开发AI Agent 的主要开发框架的步骤有哪些？,"的下一步行动，以及多智能体的设计等，以期读者能够全面掌握构建 AI Agent 的框架与步骤。 
3.1 AI Agent 的主要开发框架 
西瓜老师：小智，准备好探索并构建专属 AI Agent 了吗？使用开发框架是快速测试和迭代 AI 
Agent 配置的有效途径。 
小智：我收集了很多可用于开发 AI Agent 的框架，比如 LangChain、LlamaIndex、Coze、
Dify、","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 的主要开发框架,method,medium,,
LangGraph的定义是什么？,"第 3 章  AI Agent 开发框架与一般步骤∣49 
 
3.1.1 LangGraph 
LangGraph 是一个专门用于构建可控 AI Agent 的底层编排框架，凭借其强大的功能和灵活
性，被包括 Replit、Uber、LinkedIn 和 GitLab 在内的多家知名公司采用。LangChain 旨在简
化 LLM 应用的开发流程，它提供了集成和可组合组件。与 LangChain","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",LangGraph,definition,easy,,
CrewAI的定义是什么？,"分别对状态进行了处理和变更，结果是在图的末端，我们得到了一个包括 3 条消息的最终状态[{ ""x"": 
""10"" }，{ ""x"": ""11"" }，{ ""y"": ""9"" }]。 
3.1.2 CrewAI 
CrewAI 是一个完全从零开始构建的精简且快速的 Python 框架，它不依赖 LangChain 或其
他 AI Agent 框架。CrewAI 为开发者提供了高级别的简便性和低级别的精确控","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",CrewAI,definition,easy,,
为什么需要CrewAI？,"分别对状态进行了处理和变更，结果是在图的末端，我们得到了一个包括 3 条消息的最终状态[{ ""x"": 
""10"" }，{ ""x"": ""11"" }，{ ""y"": ""9"" }]。 
3.1.2 CrewAI 
CrewAI 是一个完全从零开始构建的精简且快速的 Python 框架，它不依赖 LangChain 或其
他 AI Agent 框架。CrewAI 为开发者提供了高级别的简便性和低级别的精确控","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",CrewAI,reason,medium,,
请解释一下AutoGen。,"行销售和退款的 Agent 等。在实际应用中，开发者可根据需要进行必要的定义和扩展，以期实现
更复杂的任务。 
3.1.4 AutoGen 
AutoGen 是由微软推出的一个开源多智能体对话框架，它的核心设计理念之一是通过多智能
体对话来简化和整合多智能体工作流（该框架的两个关键概念为可对话智能体和对话编程）。
AutoGen 允许开发者通过可以相互对话的多个 AI Agent 来创建复杂的 L","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AutoGen,definition,easy,,
OpenAI Agents SDK的定义是什么？,"用户参与对话）的团队。这些 AI Agent 通过轮询式对话（RoundRobinGroupChat）依次参与任
务，协同完成信息查找和总结撰写。代码中还定义了对话结束条件（TextMentionTermination），
即当用户输入 exit 时结束对话。 
3.1.5 OpenAI Agents SDK 
OpenAI Agents SDK 是 Swarm 的生产优化版本，继承了 Swarm","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",OpenAI Agents SDK,definition,easy,,
请解释一下定义并优化 AI Agent 的核心工具。," 语气和简洁度：确定 AI Agent 的回复是正式的还是非正式的，以及回复的简单程度。 
 使用工具的时机：明确何时应依赖外部工具而非模型自身的知识库。 
 错误处理：指导 AI Agent 在遇到工具或流程问题时应采取的行动。 
3.2.4 定义并优化 AI Agent 的核心工具 
工具为 AI Agent 提供了超乎寻常的能力。通过使用一组精心定义的工具，你可以实现多样化
的功能，其","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",定义并优化 AI Agent 的核心工具,definition,easy,,
定义并优化 AI Agent 的核心工具的目的是什么？," 语气和简洁度：确定 AI Agent 的回复是正式的还是非正式的，以及回复的简单程度。 
 使用工具的时机：明确何时应依赖外部工具而非模型自身的知识库。 
 错误处理：指导 AI Agent 在遇到工具或流程问题时应采取的行动。 
3.2.4 定义并优化 AI Agent 的核心工具 
工具为 AI Agent 提供了超乎寻常的能力。通过使用一组精心定义的工具，你可以实现多样化
的功能，其","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",定义并优化 AI Agent 的核心工具,reason,medium,,
什么是安排 AI Agent 的下一步行动？,"做的目的是让应用能够更轻松地处理和执行 AI Agent 的后续动作。 
需要注意的是，某些模型供应商（如 OpenAI 等）可能默认提供了可以直接解析的输出。而对
于其他模型，尤其是开源模型，可能需要额外配置来生成可解析的输出。 
3.2.7 安排 AI Agent 的下一步行动 
最终的步骤是 AI Agent 确立编排逻辑，如图 3-7 所示，这一逻辑决定了在 LLM 产生输出之
后将发生什","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",安排 AI Agent 的下一步行动,definition,medium,,
开发多智能体的设计的步骤有哪些？,"3.2.8 多智能体的设计 
尽管当前 LLM 已非常强大，但它们面临一个主要挑战，即处理信息过载的能力有限。过多的
上下文或工具使用可能会导致模型负担过重，进而影响性能。单一的通用 AI Agent 最终可能会触
及这个极限，尤其是考虑到 AI Agent 对 token 的巨大需求。 
在某些情况下，采用多智能体架构可能更为合适。通过将任务分配给多个 AI Agent，可以避免
单个 LLM-","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",多智能体的设计,method,easy,,
如何理解AI Agent 的 MCP？,"的架构设计、MCP 与函数调用的差异，以及 MCP 对 AI Agent 架构的影响，并基于核心代码展示
如何基于 MCP 构建具体的 AI Agent 问答知识库；接着介绍 AI Agent 之间的通信协同，探讨 A2A
的发展及其与 MCP 的关系，并基于核心代码展示 A2A 如何在多智能体之间实现通信协同。 
4.1 AI Agent 的 MCP  
小智：说起 AI Agent 工具调用，","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 的 MCP,definition,medium,,
如何实现基于 MCP 的 AI Agent 问答知识库构建？,"4.1.2 基于 MCP 的 AI Agent 问答知识库构建 
AI Agent 问答知识库整体由构建与检索流程组成，整体流程图如图 4-7 所示。 
知识库构建流程如下。 
 文本切分：对输入的文本进行切分，保证切分后的文本段在保持完整性和语义连贯性的同时，
便于后续处理和检索。 
 FAQ 提取：从文本中提取常见问题及其答案（FAQ），作为知识库的一部分，以提高检索的
准确性和效率。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",基于 MCP 的 AI Agent 问答知识库构建,method,medium,,
请解释一下AI Agent 通信协同。,"第 4 章  AI Agent 的 MCP 与通信协同∣103 
 
4.2 AI Agent 通信协同 
小智：截至目前，业界比较公认的一个观点是——2025 年是 AI Agent 元年。除了 MCP，最
近还有一个概念很流行——A2A。什么是 A2A？它与 MCP 又有什么关系呢？ 
西瓜老师：虽说是元年，但其爆发式的普及速度，远远超过了“元年”这个词的含义。AI Agent
作为一种智能体","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 通信协同,definition,easy,,
请说明什么是 A2A的概念。,"决不同 AI Agent 之间的通信协同问题，旨在构建一个更灵活和高效的多智能体系统。无论是独立
Agent 之间、独立 Agent 与企业 Agent 之间，还是企业 Agent 之间，都可以通过该协议实现通
信交互和事务协作。 
4.2.1 什么是 A2A 
A2A 是一个开放协议，它为 AI Agent 之间提供了一种标准方式，无论是哪种底层开发框架还
是哪个供应商，都可以进行协作。A2A","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",什么是 A2A,definition,easy,,
A2A相比MCP 之间的关系有什么优势？,"104∣AI Agent 开发全书：原理、框架与企业落地 
 
 
图 4-15 A2A 协议的典型工作流 
4.2.2 A2A 与 MCP 之间的关系 
大家是否会有这样的疑问：直接通过 MCP 把 AI Agent 做得足够全能就好，为什么还需要使
用 A2A 协议来协作不同的 AI Agent 呢？对比 MCP 与 A2A 协议，可以发现，二者之间更多的是
一种能力互补关系：MCP 让 AI","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",A2A 与 MCP 之间的关系,comparison,hard,,
如何实现A2A 架构设计实现剖析？,"第 4 章  AI Agent 的 MCP 与通信协同∣105 
 
4.2.3 A2A 架构设计实现剖析 
在 A2A 协议中，A2A 核心三要素示意图如图 4-17 所示，3 个核心角色如下。 
 
 
图 4-17 A2A 核心三要素示意图 
 终端用户（End-User）：协议中的关键主体，主要负责认证和授权操作，确保交互的安全
性和合法性。 
 客户端 Agent（Client Ag","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",A2A 架构设计实现剖析,method,easy,,
ReAct 框架的核心原理剖析的原理是什么？,"第 5 章  AI Agent 构建工程实战 1——基于 Coze、Dify 平台构建 AI Agent∣111 
 
5.1.1 ReAct 框架的核心原理剖析 
ReAct 是一个专为 LLM 设计的提示框架（这是一种逻辑框架，而非开发框架），旨在协同推
理与行动能力。 
1．核心原理 
ReAct 框架的核心在于通过循环进行推理和行动，使 AI Agent 能够在思考与行动之间灵活切
换。这","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",ReAct 框架的核心原理剖析,principle,medium,,
AI Agent 规划能力剖析相比代码实现有什么优势？,"提示  在学习新概念时，归纳与演绎是我们常用的两种思维方式。归纳是从个别到一般，而演
绎是从一般到个别；归纳为演绎提供了指导，演绎为归纳提供了理论依据。对规划能力的定义侧
重于归纳思维，把规划能力落实到具体的自主 AI Agent 上则侧重于演绎思维。 
5.2.1 AI Agent 规划能力剖析与代码实现 
下述代码通过定义一个名为 CustomerServiceAgent 的类，基于 ReAc","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 规划能力剖析与代码实现,comparison,hard,,
AI Agent 行动能力剖析和代码实现有什么区别？,"先查库存，再查促销信息，最后计算价格），而非直接给出答案。这种分步骤的推理和工具调用就
是规划能力。 
5.2.2 AI Agent 行动能力剖析与代码实现 
AI Agent 行动能力主要体现在动态调用工具和响应生成两个方面。 
（1）动态调用工具：在实际应用中，CustomerServiceAgent 类会根据用户提问和从 LLM
接收的指示（如 Action：query_by_product","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 行动能力剖析与代码实现,comparison,hard,,
AI Agent 记忆能力剖析相比代码实现有什么优势？,"第 5 章  AI Agent 构建工程实战 1——基于 Coze、Dify 平台构建 AI Agent∣131 
 
5.2.3 AI Agent 记忆能力剖析与代码实现 
AI Agent 记忆能力主要体现在维持对话历史记录和在多轮对话中持续迭代两个方面。 
（1）维持对话历史记录 (messages)方面：在构造函数__init__中初始化了一个空列表
self.messages，用于存储对","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 记忆能力剖析与代码实现,comparison,hard,,
怎样使用基于 Dify 平台构建 AI Agent？,"第 5 章  AI Agent 构建工程实战 1——基于 Coze、Dify 平台构建 AI Agent∣137 
 
 
图 5-12 单击“发布”按钮，将“情感助手”AI Agent 发布到各种渠道中 
5.4 基于 Dify 平台构建 AI Agent 
小智：Coze 平台是基于在线模型构建专属 AI Agent，如果我需要私有化部署平台，以保证数
据隐私，那么是否有相应的低代码构建专属","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",基于 Dify 平台构建 AI Agent,method,medium,,
请介绍AI Agent 落地架构选型的必要性的实现方式。,"业务需求。接下来，我们将从 AI Agent 落地架构选型的必要性、AI Agent 落地的主流架构选型、
AI Agent 落地架构选型依据等方面展开讨论。 
6.1.1 AI Agent 落地架构选型的必要性 
选择合适的落地架构对于成功部署和应用 AI Agent 至关重要。这不仅涉及 AI Agent 能否满足
当前的复杂需求，还关系到未来的可扩展性和维护成本。通过综合考虑 LLM 能力、","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 落地架构选型的必要性,method,medium,,
怎样使用AI Agent 落地架构选型依据？,"势。然而，这种自主性和开放性也带来了更高的复杂性和开发成本。当然，选择使用 LangGraph
也意味着开发者需要承担更多的自主开发任务。 
6.1.3 AI Agent 落地架构选型依据 
企业级 AI Agent 落地架构选型需综合考虑多方面因素，包括需求分析、技术选型、安全性和
可靠性、用户体验、可维护性等。我们将围绕 8 个具体技术挑战点，阐述 AI Agent 落地架构选型
依据。 
（","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 落地架构选型依据,method,medium,,
LangChain和LangGraph 的本质区别有什么区别？,"是一个基于 LangChain 表达式语言构建的框架，专用于开发 AI Agent。因此，LangGraph 可直接从
LangChain 的功能中自然继承对 LLM 的支持、接入，以及 AI Agent 构建等方面的优势。 
6.2.1 LangChain 与 LangGraph 的本质区别 
LangGraph 与 LangChain 的本质区别是循环图和创建循环工作流。 
LangGraph","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",LangChain 与 LangGraph 的本质区别,comparison,medium,,
开发LangGraph 中支持构建 AI Agent 的主要模块的步骤有哪些？,"（5）与 LangChain 集成：LangGraph 可以与 LangChain、LangSmith 无缝集成。 
6.2.2  LangGraph 中支持构建 AI Agent 的主要模块 
在 LangGraph 中，节点、边、状态和路由这四个组件是怎么实现的，又是如何定义图结构的
呢？本节将结合代码实践进行详细介绍。 
1．Graph 基类 
对于任意一个简单或者复杂的图来说，都是基于 G","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",LangGraph 中支持构建 AI Agent 的主要模块,method,medium,,
提示工程概述及提示词的典型构成由哪些部分组成？,"小智：在基于 LangGraph 构建 AI Agent 的过程中，我们是否会使用提示工程？ 
西瓜老师：当然会，因为提示词是一种引导和优化 LLM 输出的技术手段。接下来，主要介绍提
示词在 LangGraph 中的作用，以及其在基于 LangGraph 构建 AI Agent 过程中的应用。 
6.3.1  提示工程概述及提示词的典型构成 
提示工程是一种专门针对 LLM 的技术，通过设计和优","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",提示工程概述及提示词的典型构成,structure,easy,,
工具调用 AI Agent 的核心原理的原理是什么？,"第 6 章  AI Agent 构建工程实战 2——基于 LangGraph 框架构建 AI Agent∣161 
 
6.4.1  工具调用 AI Agent 的核心原理 
工具调用 AI Agent 的核心原理是让 LLM 根据用户输入，自动地判断应该使用哪个函数，并实
际执行，最后将工具的响应结果和用户的原始问题一起作为完整的提示词输入 LLM 并生成最终的
响应。 
1．LLM 的函数调用","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",工具调用 AI Agent 的核心原理,principle,medium,,
如何搭建AI Agent 长短期记忆能力实现？,"172∣AI Agent 开发全书：原理、框架与企业落地 
 
6.5 AI Agent 长短期记忆能力实现 
小智：在基于 LangGraph 构建 AI Agent 的过程中，长短期记忆能力应如何实现呢？ 
西瓜老师：记忆是一种允许个体存储、检索并利用信息以理解过去和规划未来的关键认知功能。
像人类一样，通过学习、经验获得的知识可以在需要的时候从大脑中被检索出来。对于 AI Agent
来说，","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",AI Agent 长短期记忆能力实现,method,medium,,
请介绍基于 Store 实现长期记忆的实现方式。,"6.5.2 基于 Store 实现长期记忆 
仅使用 Checkpointer，是无法做到跨线程共享信息的，而这激发了对 Store 的需求。 
LangGraph 通过 BaseStore 接口提供内置文档存储。与通过线程 ID 保存状态的 Checkpointer
不同，文档存储使用自定义命名空间来组织数据。常见的用例包括存储用户配置文件、构建知识库，
以及管理所有线程的全局首选项。具体的实现","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",基于 Store 实现长期记忆,method,easy,,
开发基于 LangGraph 开发单智能体的步骤有哪些？,"182∣AI Agent 开发全书：原理、框架与企业落地 
 
6.6.1 基于 LangGraph 开发单智能体 
在前面章节中，我们已经介绍过基于 LangGraph 支持的 Router AI Agent、工具调用 AI 
Agent 架构构建单智能体的案例及其实现代码。在本节中，我们将详细介绍如何基于 LangGraph
的 ReAct 构建单智能体，以及 Human-in-the-loo","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",基于 LangGraph 开发单智能体,method,easy,,
请介绍基于 LangGraph 开发多智能体的实现方式。,"6.6.2 基于 LangGraph 开发多智能体 
完全自主循环 ReAct 所做的是尝试去打造更强的独立个体，我们通过给它传递更多的工具、赋
予上下文记忆等方式让其能够处理不断变化的任务需求。但随着需求变得越来越复杂，能够预想到","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",基于 LangGraph 开发多智能体,method,medium,,
本地化部署多智能体实战的定义是什么？,"192∣AI Agent 开发全书：原理、框架与企业落地 
 
6.7 本地化部署多智能体实战 
小智：既然基于 NetWork 架构实现多智能体有不少劣势，那么我们该如何基于 Supervisor
架构实现并部署多智能体呢？ 
西瓜老师：学习是一个循序渐进的过程。本节我们将主要介绍 Supervisor 架构的基本构建原
理，以及如何基于 Supervisor 架构实现多智能体，最后再简要介绍其","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",本地化部署多智能体实战,definition,easy,,
使用本地化部署多智能体实战有什么好处？,"192∣AI Agent 开发全书：原理、框架与企业落地 
 
6.7 本地化部署多智能体实战 
小智：既然基于 NetWork 架构实现多智能体有不少劣势，那么我们该如何基于 Supervisor
架构实现并部署多智能体呢？ 
西瓜老师：学习是一个循序渐进的过程。本节我们将主要介绍 Supervisor 架构的基本构建原
理，以及如何基于 Supervisor 架构实现多智能体，最后再简要介绍其","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",本地化部署多智能体实战,reason,medium,,
什么是本地化部署多智能体？,"第 6 章  AI Agent 构建工程实战 2——基于 LangGraph 框架构建 AI Agent∣207 
 
6.7.2 本地化部署多智能体 
本地化部署多智能体主要涉及环境配置、安装依赖、数据库设置、运行代码和监控与调试等主
要步骤。 
（1）环境配置 
确保开发环境满足以下要求。 
 Python 版本：推荐使用 Python 3.10 或更高版本。 
 数据库：MySQL 或其","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",本地化部署多智能体,definition,medium,,
企业数据分析的范式革命的定义是什么？,"旨在指导读者构建专属于自己的数据分析智能体。 
7.1 企业数据分析的范式革命 
小智：我近期在同行技术交流会上，经常听到 ChatBI（“聊天式商业智能”）的概念，其核心
是通过自然语言交互实现数据分析。那么，ChatBI 与传统 BI 的本质差异是什么？ChatBI 的本质是
什么？ 
西瓜老师：同行技术交流会是一种有效跟进技术前沿与应用的途径，小智在持续学习上做得非
常好！ChatBI 与传","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",企业数据分析的范式革命,definition,easy,,
怎样使用企业级 ChatBI Agent 架构设计？,"7.2 企业级 ChatBI Agent 架构设计 
小智：在对 ChatBI Agent 进行需求分析后，一般需要进行架构设计。 
西瓜老师：没错！在需求分析的基础上，进行架构设计与技术选型非常关键，两者相辅相成。
架构设计为技术选型提供了指导，而技术选型为架构设计提供了基础。通过精心的架构设计和合理
的技术选型，可以构建出高效、稳定且可扩展的 ChatBI Agent。在实际开发中，通常先根据","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",企业级 ChatBI Agent 架构设计,method,medium,,
开发企业级 ChatBI Agent 总体架构的步骤有哪些？,"212∣AI Agent 开发全书：原理、框架与企业落地 
 
7.2.1 企业级 ChatBI Agent 总体架构 
我们基于图 7-3，进一步丰富并设计构建企业级 ChatBI Agent 总体架构。其总体架构设计如
图 7-4 所示，涵盖了数据存储与处理（根据具体需求搭建大数据平台）、自然语言理解与生成（LLM）、
任务规划与执行（规划模块、行动模块和工具模块）等多个方面，形成了一个完整高","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",企业级 ChatBI Agent 总体架构,method,medium,,
企业级 ChatBI Agent 技术选型和资源评估有什么区别？,"第 7 章  数据分析 AI Agent 的企业应用案例——基于 DeepSeek 模型∣215 
 
7.3 企业级 ChatBI Agent 技术选型与资源评估 
小智：在完成 ChatBI Agent 的需求分析与架构设计后，我们还需要考虑哪些必要环节呢？ 
西瓜老师：在需求分析和架构设计的基础上，接下来需要考虑技术选型。技术选型至关重要，
主要涉及如何选择最适合的技术栈、工具和平台来满足项","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",企业级 ChatBI Agent 技术选型与资源评估,comparison,hard,,
什么是企业级 ChatBI Agent 资源评估？,"7.3.2 企业级 ChatBI Agent 资源评估 
企业级 ChatBI Agent 对数据安全和保密性的要求较高，通常需要确保企业数据的传输和处理
都在本地进行。因此，私有化部署模型是必要的。私有化部署模型涉及硬件资源评估，尤其是 GPU。
GPU 资源评估需主要考虑三个维度：模型参数、用户并发、推理缓存。我们以 GLM-4-9B-Chat 模
型为例，其共需 GPU 资源 26.4 GB","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",企业级 ChatBI Agent 资源评估,definition,medium,,
请辨析基于 DeepSeek 模型构建和部署企业级 ChatBI Agent。,"层隐藏层维度为 4096，token 大小为 2 字节），一次请求的平均 token 数量为 1000，用户
并发数为 10（根据企业业务评估设置），即 40×4096×2×2×1000×10=65.5 亿字节≈6 GB。 
 推理缓存空间（Activation、Buffer 等）显存占用=总资源（18 GB+6 GB）的 10%≈2.4 GB。 
7.4 基于 DeepSeek 模型构建与部署","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",基于 DeepSeek 模型构建与部署企业级 ChatBI Agent,comparison,hard,,
比较DeepSeek 模型的架构与核心优势的异同。,"西瓜老师：它非常符合目前国内企业对 LLM 选型的潮流！通过私有化部署 DeepSeek 模型，
可从根本上满足企业对数据安全的需求。接下来，我们首先解析 DeepSeek 的模型架构与核心优势，
然后通过调用 DeepSeek API 构建企业级 ChatBI Agent，最后介绍如何对其进行私有化部署。 
7.4.1 DeepSeek 模型的架构与核心优势 
本节将详细解析 DeepSeek","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",DeepSeek 模型的架构与核心优势,comparison,medium,,
怎样使用基于 DeepSeek 模型构建企业级 ChatBI Agent？,"学习机制，快速掌握相关知识，保持模型的先进性和实用性。 
7.4.2 基于 DeepSeek 模型构建企业级 ChatBI Agent 
本节我们基于 DeepSeek 模型构建企业级 ChatBI Agent。通过指定 model='deepseek-chat'，
即可调用 DeepSeek-V3。通过指定 model='deepseek-reasoner'，即可调用 DeepSeek-R1。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",基于 DeepSeek 模型构建企业级 ChatBI Agent,method,medium,,
如何理解基于 DeepSeek 本地化部署企业级 ChatBI Agent？," 电子支票用户多订阅基础服务（如 DSL），自动支付用户多订阅光纤服务。 
 建议：对电子支票用户推广“低价升级套餐”（如“DSL 升级光纤仅需+XX 元/月”）。 
 
7.4.3 基于 DeepSeek 本地化部署企业级 ChatBI Agent 
通过私有化部署 DeepSeek 模型，企业能从根本上保障数据安全，尤其是对于用户高敏感数
据。接下来，我们将基于 Ollama 平台部署轻量","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",基于 DeepSeek 本地化部署企业级 ChatBI Agent,definition,medium,,
