question,answer,source,section,type,difficulty
如何理解（5）并行训练？,"利用多种计算资源（如 GPU、CPU 或其他硬件）同时进行模型训练的过
程。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
为什么（5）并行训练很重要？,"利用多种计算资源（如 GPU、CPU 或其他硬件）同时进行模型训练的过
程。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",reason,medium
（5）并行训练有哪些应用？,"利用多种计算资源（如 GPU、CPU 或其他硬件）同时进行模型训练的过
程。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",application,easy
请解释一下概念简单但。,"ro-shot 
prompt。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
请总结概念简单但的核心要点。,"ro-shot 
prompt。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",summary,easy
概念简单但的实现方法是什么？,"ro-shot 
prompt。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",method,medium
如何理解主观评估？,基于人类判断来衡量 LLM-Agent 的能力。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
主观评估的主要内容是什么？,基于人类判断来衡量 LLM-Agent 的能力。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",summary,easy
请说明主观评估的概念。,量 LLM-Agent 的能力。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
主观评估的原理是什么？,量 LLM-Agent 的能力。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",principle,medium
请总结主观评估的核心要点。,量 LLM-Agent 的能力。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",summary,easy
简述客观评估的含义。,使用可以随时间计算、比较和跟踪的量化指标来评估自主 LLM-Agent 的能力。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
如何实现客观评估？,使用可以随时间计算、比较和跟踪的量化指标来评估自主 LLM-Agent 的能力。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",method,medium
客观评估适用于什么场景？,使用可以随时间计算、比较和跟踪的量化指标来评估自主 LLM-Agent 的能力。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",application,easy
请简述客观评估的工作机制。,与主观评估相比，客观评估指标旨在提供对 LLM-Agent 性能的具体、可测量的洞察。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",principle,medium
请说明 社会评估：这种协议的概念。,"通过模拟社会中的 LLM-Agent 交互，利用相关指标来评估其社会
智能。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
在什么情况下使用 社会评估：这种协议？,"通过模拟社会中的 LLM-Agent 交互，利用相关指标来评估其社会
智能。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",application,easy
 社会评估：这种协议的运行机制是怎样的？,"通过模拟社会中的 LLM-Agent 交互，利用相关指标来评估其社会
智能。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",principle,easy
简述使用开发框架的含义。,"核心模块两个方面，重点介绍 LangGraph、CrewAI、Swarm、AutoGen、OpenAI Agents SDK
和 Google Agent Development Kit（ADK）。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
使用开发框架可以解决哪些问题？,"核心模块两个方面，重点介绍 LangGraph、CrewAI、Swarm、AutoGen、OpenAI Agents SDK
和 Google Agent Development Kit（ADK）。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",application,medium
如何实现使用开发框架？,"核心模块两个方面，重点介绍 LangGraph、CrewAI、Swarm、AutoGen、OpenAI Agents SDK
和 Google Agent Development Kit（ADK）。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",method,medium
请说明定义图时要做的第一件事的概念。,"行而维护和更
新的上下文或记忆。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
为什么要用定义图时要做的第一件事？,"行而维护和更
新的上下文或记忆。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",reason,easy
定义图时要做的第一件事的实现方法是什么？,"行而维护和更
新的上下文或记忆。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",method,medium
简述要注意的含义。,的节点：START 和 END。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
请总结要注意的核心要点。,的节点：START 和 END。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",summary,easy
要注意的定义是什么？,"送给图的节点，使用该节点的主要目的是确定应该首先调用哪些节点；END 节点是代表终端节点的
特殊节点，当想要指示哪些边完成后没有任何操作时，将使用该节点。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
使用要注意有什么好处？,"送给图的节点，使用该节点的主要目的是确定应该首先调用哪些节点；END 节点是代表终端节点的
特殊节点，当想要指示哪些边完成后没有任何操作时，将使用该节点。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",reason,easy
如何理解令来决定？,"refund 函数来处理退
款。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
请介绍令来决定的实现方式。,"refund 函数来处理退
款。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",method,medium
为什么需要令来决定？,"refund 函数来处理退
款。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",reason,medium
请说明做的目的概念。,需要注意的是，某些模型供应商（如 OpenAI 等）可能默认提供了可以直接解析的输出。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
请介绍做的目的实现方式。,需要注意的是，某些模型供应商（如 OpenAI 等）可能默认提供了可以直接解析的输出。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",method,easy
什么是做的目？,需要注意的是，某些模型供应商（如 OpenAI 等）可能默认提供了可以直接解析的输出。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",3.2.7 安排 AI Agent 的下一步行动,definition,easy
如何实现做的目？,需要注意的是，某些模型供应商（如 OpenAI 等）可能默认提供了可以直接解析的输出。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",3.2.7 安排 AI Agent 的下一步行动,method,easy
概括一下做的目。,需要注意的是，某些模型供应商（如 OpenAI 等）可能默认提供了可以直接解析的输出。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",3.2.7 安排 AI Agent 的下一步行动,summary,easy
最终的步骤的定义是什么？,"LM 产生输出之
后将发生什么。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",3.2.7 安排 AI Agent 的下一步行动,definition,easy
解释最终的步骤的核心原理。,"LM 产生输出之
后将发生什么。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",3.2.7 安排 AI Agent 的下一步行动,principle,easy
使用最终的步骤有什么好处？,"LM 产生输出之
后将发生什么。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",3.2.7 安排 AI Agent 的下一步行动,reason,medium
用几句话总结函数调用。,"决了大
模型知识更新停滞的问题。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",summary,easy
什么是存储采用？,"图 4-9 基于 MCP 的 AI Agent 知识库架构的核心实现示意图 
（1）知识库存储 
选择 TableStore 作为知识库的存储解决方案的原因如下。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
用几句话总结存储采用。,"图 4-9 基于 MCP 的 AI Agent 知识库架构的核心实现示意图 
（1）知识库存储 
选择 TableStore 作为知识库的存储解决方案的原因如下。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",summary,easy
同样这一步也的定义是什么？,"杂的检索：先对问题进行拆解，将其拆解为更原子化的子问题；然后，针对每个子问题，同时检索
知识库和 FAQ 库；接着，将检索结果汇总并筛选，留下与问题最相关的内容；最后，按照既定格式
返回结果。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
为什么需要同样这一步也？,"杂的检索：先对问题进行拆解，将其拆解为更原子化的子问题；然后，针对每个子问题，同时检索
知识库和 FAQ 库；接着，将检索结果汇总并筛选，留下与问题最相关的内容；最后，按照既定格式
返回结果。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",reason,medium
同样这一步也适用于什么场景？,"杂的检索：先对问题进行拆解，将其拆解为更原子化的子问题；然后，针对每个子问题，同时检索
知识库和 FAQ 库；接着，将检索结果汇总并筛选，留下与问题最相关的内容；最后，按照既定格式
返回结果。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",application,medium
请说明需要注意的概念。,，如已提交、处理中、需要输入等。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
需要注意有哪些应用？,，如已提交、处理中、需要输入等。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",application,medium
需要注意的实现方法是什么？,完成阶段，任务最终可能成功完成，也可能失败。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",method,medium
LangChain目前仍的定义是什么？,"已基本完成了由传统类到表达式语言（LCEL）的过渡，使开发者定义并执行分步操作变得更加简
单。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
开发LangChain目前仍的步骤有哪些？,"已基本完成了由传统类到表达式语言（LCEL）的过渡，使开发者定义并执行分步操作变得更加简
单。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",method,medium
请总结LangChain目前仍的核心要点。,"已基本完成了由传统类到表达式语言（LCEL）的过渡，使开发者定义并执行分步操作变得更加简
单。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",summary,easy
简述框架的根本原因的含义。,"工具，而更
多是被用作推理引擎。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
框架的根本原因是如何工作的？,"工具，而更
多是被用作推理引擎。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",principle,medium
请解释一下该节点的主要目。,"没有任
何操作时，将使用该节点。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
解释该节点的主要目的核心原理。,"没有任
何操作时，将使用该节点。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",principle,easy
该节点的主要目的实现方法是什么？,"没有任
何操作时，将使用该节点。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",method,medium
请说明不同节点间能够传递信息的原因的概念。,"定义的状态通道的并集，而我们定义的状态通道包含了 OverallState、过滤器 InputState 和
OutputState 。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
概括一下不同节点间能够传递信息的原因。,"定义的状态通道的并集，而我们定义的状态通道包含了 OverallState、过滤器 InputState 和
OutputState 。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",summary,easy
如何搭建不同节点间能够传递信息的原因？,"定义的状态通道的并集，而我们定义的状态通道包含了 OverallState、过滤器 InputState 和
OutputState 。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",method,medium
提示工程的目的是什么？,有用、上下文相关的结果，其目标是充分利用 LLM 的能力。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",6.3.1  提示工程概述及提示词的典型构成,reason,medium
简述具调用过程的含义。,LLM 都有哪些工具可以使用。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
请简述具调用过程的工作机制。,LLM 都有哪些工具可以使用。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",principle,medium
为什么具调用过程很重要？,LLM 都有哪些工具可以使用。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",reason,easy
请解释一下理短期记忆和长期记忆的分别。,"图 6-22 Checkpointer 和 Store  
 短期记忆：允许代理访问图中较早步骤中获取的信息，并且可以随时从与用户的单个对话线
程中调用。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
在什么情况下使用理短期记忆和长期记忆的分别？,"图 6-22 Checkpointer 和 Store  
 短期记忆：允许代理访问图中较早步骤中获取的信息，并且可以随时从与用户的单个对话线
程中调用。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",application,medium
开发理短期记忆和长期记忆的分别的步骤有哪些？,"图 6-22 Checkpointer 和 Store  
 短期记忆：允许代理访问图中较早步骤中获取的信息，并且可以随时从与用户的单个对话线
程中调用。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",method,medium
请解释一下超级步骤可以被认为。,而顺序运行的节点则属于单独的超级步骤。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
超级步骤可以被认为适用于什么场景？,而顺序运行的节点则属于单独的超级步骤。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",application,medium
请说明的底层采用的概念。,实 现 的 ReAct 迁 移 而 来 的 。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
请介绍的底层采用的实现方式。,实 现 的 ReAct 迁 移 而 来 的 。,"AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",method,medium
如何理解关键策略？,"阶段，利用流式输出功能可以准确追踪事件的具体执行阶段，并捕获相关数据，从而接入不同逻辑
的数据处理和决策流程。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",definition,easy
关键策略的主要内容是什么？,"阶段，利用流式输出功能可以准确追踪事件的具体执行阶段，并捕获相关数据，从而接入不同逻辑
的数据处理和决策流程。","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)","AI Agent 开发全书 原理、框架与企业落地 (李希沅, 王甲君, 武天富, 解敏) (z-library.sk, 1lib.sk, z-lib.sk)",summary,easy
